Data,Labeling 1
2271,id0
2278,id0
2280,id0
2285,id0
2274,id0
2274,id0
2273,id0
2285,id0
2298,id0
2298,id0
2292,id0
2296,id0
2283,id0
2283,id0
2285,id0
2283,id0
2296,id0
2291,id0
2283,id0
2280,id0
2271,id0
2263,id0
2265,id0
2265,id0
2263,id0
2269,id0
2255,id0
2253,id0
2263,id0
2262,id0
2259,id0
2262,id0
2264,id0
2289,id0
2271,id0
2263,id0
2262,id0
2254,id0
2250,id0
2249,id0
2246,id0
2244,id0
2244,id0
2233,id0
2225,id0
2223,id0
2224,id0
2213,id0
2223,id0
2226,id0
2243,id0
2238,id0
2228,id0
2217,id0
2209,id0
2195,id0
2200,id0
2195,id0
2193,id0
2197,id0
2187,id0
2188,id0
2186,id0
2174,id0
2170,id0
2173,id0
2177,id0
2178,id0
2192,id0
2193,id0
2190,id0
2191,id0
2191,id0
2206,id0
2211,id0
2229,id0
2230,id0
2227,id0
2219,id0
2215,id0
2210,id0
2197,id0
2197,id0
2194,id0
2204,id0
2220,id0
2223,id0
2219,id0
2216,id0
2205,id0
2202,id0
2178,id0
2196,id0
2203,id0
2188,id0
2202,id0
2207,id0
2195,id0
2198,id0
2187,id0
2185,id0
2201,id0
2225,id0
2240,id0
2246,id0
2240,id0
2232,id0
2229,id0
2237,id0
2234,id0
2245,id0
2260,id0
2263,id0
2278,id0
2275,id0
2260,id0
2280,id0
2288,id0
2294,id0
2305,id0
2301,id0
2322,id0
2327,id0
2319,id0
2324,id0
2315,id0
2336,id0
2352,id0
2372,id0
2361,id0
2365,id0
2366,id0
2368,id0
2366,id0
2364,id0
2369,id0
2374,id0
2377,id0
2380,id0
2366,id0
2350,id0
2349,id0
2337,id0
2339,id0
2337,id0
2332,id0
2318,id0
2321,id0
2318,id0
2304,id0
2304,id0
2293,id0
2294,id0
2293,id0
2296,id0
2307,id0
2325,id0
2337,id0
2355,id0
2368,id0
2359,id0
2362,id0
2338,id0
2314,id0
2294,id0
2277,id0
2252,id0
2242,id0
2227,id0
2229,id0
2232,id0
2240,id0
2234,id0
2236,id0
2238,id0
2248,id0
2257,id0
2262,id0
2255,id0
2246,id0
2272,id0
2242,id0
2234,id0
2243,id0
2248,id0
2264,id0
2270,id0
2261,id0
2255,id0
2244,id0
2218,id0
2227,id0
2214,id0
2189,id0
2187,id0
2181,id0
2179,id0
2198,id0
2171,id0
2172,id0
2170,id0
2158,id0
2159,id0
2166,id0
2169,id0
2183,id0
2193,id0
2193,id0
2200,id0
2193,id0
2202,id0
2197,id0
2188,id0
2189,id0
2170,id0
2198,id0
2205,id0
2199,id0
2194,id0
2200,id0
2203,id0
2199,id0
2202,id0
2191,id0
2180,id0
2182,id0
2170,id0
2167,id0
2188,id0
2177,id0
2190,id0
2190,id0
2198,id0
2213,id0
2217,id0
2238,id0
